ID WHO city,Region,iso3,Country,City/Town,"Annual mean, ug/m3",Year,Number and type of monitoring stations (PM10),note on converted PM10,"Annual mean, ug/m3",Year,Number and type of monitoring stations (PM2.5),note on converted PM2.5,Temporal coverage,for air quality,
1206,Eur HI,GRC,Greece,ATHENS,39.981203,2013,"1 station, traffic, urban",measured data,14.9984123567,2013,-,converted from PM10,PM10: <75 % but annually representative, PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
1207,Eur HI,GRC,Greece,ECHEDORO,26.14369501,2013,"1 station, industrial, urban",measured data,9.8074567263,2013,-,converted from PM10,PM10: >75%, PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
1208,Eur HI,GRC,Greece,LARISSA,37.80120481,2013,"1 station, traffic, urban",measured data,14.1806152586,2013,-,converted from PM10,PM10: >75%, PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
1209,Eur HI,GRC,Greece,LYKOVRISI,42.3034682,2013,"1 station, background, suburban",measured data,15.8695790164,2013,-,converted from PM10,PM10: >75%, PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
1210,Eur HI,GRC,Greece,PATRA,40.44444444,2013,"1 station, traffic, urban",measured data,15.1721911731,2013,-,converted from PM10,PM10: >75%, PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
1211,Eur HI,GRC,Greece,PIREAS,36.94428152,2013,"1 station, traffic, urban",measured data,13.8591519734,2013,-,converted from PM10,PM10: >75%, PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
1212,Eur HI,GRC,Greece,THESSALONIKI,21.87572254,2013,"1 station, traffic, urban",measured data,8.2063840664,2013,-,converted from PM10,PM10: >75%, PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
1213,Eur HI,GRC,Greece,VOLOS,32.48632218,2013,"1 station, traffic, urban",measured data,12.1868082861,2013,-,converted from PM10,PM10: >75%, PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
1214,Amr LMI,GTM,Guatemala,Guatemala,56.25,2013,"4 stations, Urban background",measured data,40.875,2013,"8 stations, Urban background",measured data,PM10: NA, PM2.5:NA,Compendio de estad�sticas ambientales
1215,Amr LMI,HND,Honduras,Tegucigalpa,58.5,2013,"2 stations, NA",measured data,36,2013,"1 station, NA",measured data,PM10: NA, PM2.5:NA,"Red de monitoreo de particulas suspendidas en el aire en Tegucigalpa, 2013-2014"
1216,Eur HI,HUN,Hungary,Ajka,21,2013,"1 station, Urban background",measured data,17.165607111,2013,-,converted from PM10,PM10: >75%, PM2.5:NA,Hungarian Meteorological Service
1217,Eur HI,HUN,Hungary,Budapest,29,2013,"5 stations, Suburban background",measured data,25,2013,"1 station, Suburban background",measured data,PM10: >75%, PM2.5:NA,Hungarian Meteorological Service
1218,Eur HI,HUN,Hungary,Debrecen,27,2013,"1 station, Urban background",measured data,22.0700662855,2013,-,converted from PM10,PM10: >75%, PM2.5:NA,Hungarian Meteorological Service
1219,Eur HI,HUN,Hungary,Duna�jv�ros,26,2013,"1 station, Urban industry",measured data,21.2526564231,2013,-,converted from PM10,PM10: >75%, PM2.5:NA,Hungarian Meteorological Service
1220,Eur HI,HUN,Hungary,Esztergom,27,2013,"1 station, Urban background",measured data,17,2013,"1 station, Urban background",measured data,PM10: >75%, PM2.5:>75%,Hungarian Meteorological Service
1221,Eur HI,HUN,Hungary,Gyor,23,2013,"1 station, Urban transport",measured data,15,2013,"1 station, Urban transport",measured data,PM10: >75%, PM2.5:>75%,Hungarian Meteorological Service
1222,Eur HI,HUN,Hungary,Hern�dszurdok,22,2013,"1 station, Rural background",measured data,18,2013,"1 station, Rural background",measured data,PM10: >75%, PM2.5:>75%,Hungarian Meteorological Service
1223,Eur HI,HUN,Hungary,Kazincbarcika,31,2013,"1 station, Urban background",measured data,25.3397057352,2013,-,converted from PM10,PM10: >75%, PM2.5:NA,Hungarian Meteorological Service
1224,Eur HI,HUN,Hungary,Miskolc,35,2013,"1 station, Urban transport",measured data,28.609345185,2013,-,converted from PM10,PM10: >75%, PM2.5:NA,Hungarian Meteorological Service
1225,Eur HI,HUN,Hungary,Ny�regyh�za,32,2013,"1 station, Suburban background",measured data,26.1571155977,2013,-,converted from PM10,PM10: >75%, PM2.5:NA,Hungarian Meteorological Service
1226,Eur HI,HUN,Hungary,P�cs,30.5,2013,"2 stations, Suburban background",measured data,24.931000804,2013,-,converted from PM10,PM10: >75%, PM2.5:NA,Hungarian Meteorological Service
1227,Eur HI,HUN,Hungary,Sarr�d,18,2013,"1 station, Urban background",measured data,14.7133775237,2013,-,converted from PM10,PM10: >75%, PM2.5:NA,Hungarian Meteorological Service
1228,Eur HI,HUN,Hungary,Sopron,24,2013,"1 station, Urban background",measured data,19.6178366983,2013,-,converted from PM10,PM10: >75%, PM2.5:NA,Hungarian Meteorological Service
1229,Eur HI,HUN,Hungary,Sz�zhalombatta,23,2013,"1 station, Suburban background",measured data,18.8004268358,2013,-,converted from PM10,PM10: >75%, PM2.5:NA,Hungarian Meteorological Service
1230,Eur HI,HUN,Hungary,Szeged,25,2013,"1 station, Urban background",measured data,20.4352465607,2013,-,converted from PM10,PM10: >75%, PM2.5:NA,Hungarian Meteorological Service
1231,Eur HI,HUN,Hungary,Tatab�nya,26,2013,"1 station, Urban transport",measured data,21.2526564231,2013,-,converted from PM10,PM10: >75%, PM2.5:NA,Hungarian Meteorological Service
1232,Eur HI,HUN,Hungary,Veszpr�m,17,2013,"1 station, Suburban background",measured data,13.8959676613,2013,-,converted from PM10,PM10: >75%, PM2.5:NA,Hungarian Meteorological Service
1233,Eur HI,ISL,Iceland,AKUREYRI,11.84386176,2013,"1 station, traffic, suburban",measured data,7.958594793,2013,-,converted from PM10,PM10: >75%, PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
1234,Eur HI,ISL,Iceland,HAFNARFJORDUR,8.424,2012,"1 station, background suburban",measured data,3.902,2012,"1 station, background suburban",measured data,PM10: >75%, PM2.5:>75%,"European Environment Agency, Air quality e-reporting database"
1235,Eur HI,ISL,Iceland,REYKJAVIK,15.05519885,2013,"2 stations, background suburban, traffic, urban",measured data,10.8658999,2013,"2 stations, background suburban, traffic, urban",measured data,PM10: >75%, PM2.5:>75%,"European Environment Agency, Air quality e-reporting database"
1236,Sear,IND,India,Agra,195.6666666667,2012,"6 stations, NA",measured data,104.7589234834,2012,-,converted from PM10,PM10: <75 % but annually representative, PM2.5:NA,Open Government Data (OGD) Plateform India
1237,Sear,IND,India,Ahmedabad,82.6666666667,2012,6 stations,measured data,100.1,2013,"1 station, residential",measured data,PM10: <75%, PM2.5:NA,"Central Pollution Control Board India, Environmental Data Bank;Open Government Data (OGD) Plateform India"
1238,Sear,IND,India,Aizawl,53.6,2012,"5 stations, NA",measured data,28.6971633665,2012,-,converted from PM10,PM10: >75%, PM2.5:NA,Open Government Data (OGD) Plateform India
1239,Sear,IND,India,Akola,139,2012,"3 stations, NA",measured data,74.4198826109,2012,-,converted from PM10,PM10: <75 % but annually representative, PM2.5:NA,Open Government Data (OGD) Plateform India
1240,Sear,IND,India,Alappuzha,50,2012,"2 stations, NA",measured data,26.7697419464,2012,-,converted from PM10,PM10: <75 % but annually representative, PM2.5:NA,Open Government Data (OGD) Plateform India
1241,Sear,IND,India,Allahabad,317,2012,"2 stations, NA",measured data,169.72016394,2012,-,converted from PM10,PM10: <75 % but annually representative, PM2.5:NA,Open Government Data (OGD) Plateform India
1242,Sear,IND,India,Alwar,151.6666666667,2012,"3 stations, NA",measured data,81.2015505706,2012,-,converted from PM10,PM10: >75%, PM2.5:NA,Open Government Data (OGD) Plateform India
1243,Sear,IND,India,Amravati,100.3333333333,2012,"3 stations, NA",measured data,53.717948839,2012,-,converted from PM10,PM10: >75%, PM2.5:NA,Open Government Data (OGD) Plateform India
1244,Sear,IND,India,Amritsar,202,2012,"2 stations, NA",measured data,108.1497574633,2012,-,converted from PM10,PM10: <75%, PM2.5:NA,Open Government Data (OGD) Plateform India
1245,Sear,IND,India,Angul,106,2012,"2 stations, NA",measured data,56.7518529263,2012,-,converted from PM10,PM10: <75 % but annually representative, PM2.5:NA,Open Government Data (OGD) Plateform India
1246,Sear,IND,India,Anklesvar,99.5,2012,"2 stations, NA",measured data,53.2717864733,2012,-,converted from PM10,PM10: <75 % but annually representative, PM2.5:NA,Open Government Data (OGD) Plateform India
1247,Sear,IND,India,Aurangabad,79.6666666667,2012,"3 stations, NA",measured data,42.6531221679,2012,-,converted from PM10,PM10: <75 % but annually representative, PM2.5:NA,Open Government Data (OGD) Plateform India
1248,Sear,IND,India,Baddi,99,2012,"3 stations, NA",measured data,53.0040890538,2012,-,converted from PM10,PM10: <75 % but annually representative, PM2.5:NA,Open Government Data (OGD) Plateform India
1249,Sear,IND,India,Balasore,81.6666666667,2012,"3 stations, NA",measured data,43.7239118457,2012,-,converted from PM10,PM10: <75 % but annually representative, PM2.5:NA,Open Government Data (OGD) Plateform India
1250,Sear,IND,India,Bangalore,118.1428571429,2012,"7 stations, NA",measured data,63.2530759704,2012,-,converted from PM10,PM10: >75%, PM2.5:NA,Open Government Data (OGD) Plateform India
1251,Sear,IND,India,Berhampur,80,2012,"1 station, NA",measured data,42.8315871142,2012,-,converted from PM10,PM10: <75 % but annually representative, PM2.5:NA,Open Government Data (OGD) Plateform India
1252,Sear,IND,India,Bhilai,103,2012,"3 stations, NA",measured data,55.1456684095,2012,-,converted from PM10,PM10: >75%, PM2.5:NA,Open Government Data (OGD) Plateform India
1253,Sear,IND,India,Bhopal,173,2012,"3 stations, NA",measured data,92.6233071344,2012,-,converted from PM10,PM10: <75 % but annually representative, PM2.5:NA,Open Government Data (OGD) Plateform India
1254,Sear,IND,India,Bhubneshwar,80.8,2012,"5 stations, NA",measured data,43.2599029853,2012,-,converted from PM10,PM10: >75%, PM2.5:NA,Open Government Data (OGD) Plateform India
1255,Sear,IND,India,Bongaigaon,45.5,2012,"2 stations, NA",measured data,24.3604651712,2012,-,converted from PM10,PM10: <75 % but annually representative, PM2.5:NA,Open Government Data (OGD) Plateform India
1256,Sear,IND,India,Chandigarh,110.2,2012,"5 stations, NA",measured data,59.0005112498,2012,-,converted from PM10,PM10: <75 % but annually representative, PM2.5:NA,Open Government Data (OGD) Plateform India
1257,Sear,IND,India,Chandrapur,148.3333333333,2012,"6 stations, NA",measured data,79.4169011076,2012,-,converted from PM10,PM10: >75%, PM2.5:NA,Open Government Data (OGD) Plateform India
1258,Sear,IND,India,Chennai,57.3333333333,2012,"6 stations, NA",measured data,44.2833333333,2014,"1 station, NA",measured data,PM10: >75%, PM2.5: >75%,"Open Government Data (OGD) Plateform India; U.S. Department of State, Mission Air Quality"
1259,Sear,IND,India,Chitoor,40,2012,"1 station, NA",measured data,21.4157935571,2012,-,converted from PM10,PM10: <75 % but annually representative, PM2.5:NA,Open Government Data (OGD) Plateform India
1260,Sear,IND,India,Coimbatore,68,2012,"3 stations, NA",measured data,36.4068490471,2012,-,converted from PM10,PM10: >75%, PM2.5:NA,Open Government Data (OGD) Plateform India
1261,Sear,IND,India,Cuttack,67.5,2012,"2 stations, NA",measured data,36.1391516276,2012,-,converted from PM10,PM10: <75 % but annually representative, PM2.5:NA,Open Government Data (OGD) Plateform India
1263,Sear,IND,India,Dehradun,187.6666666667,2012,"3 stations, NA",measured data,100.475764772,2012,-,converted from PM10,PM10: <75 % but annually representative, PM2.5:NA,Open Government Data (OGD) Plateform India
1262,Sear,IND,India,Delhi,229.0833333333,2012.25,12 stations,measured data,122.105666,2013.2,"10 stations, residential and others",measured data,PM10: <75%, PM2.5:<75%,"Central Pollution Control Board India, Environmental Data Bank; Atmospheric Research 166: 223�232 (2015); U.S. Department of State, Mission Air Quality; Open Government Data (OGD) Plateform India"
1264,Sear,IND,India,Devanagere,74.6666666667,2012,"3 stations, NA",measured data,39.9761479732,2012,-,converted from PM10,PM10: >75%, PM2.5:NA,Open Government Data (OGD) Plateform India
1265,Sear,IND,India,Dewas,91.6666666667,2012,"3 stations, NA",measured data,49.077860235,2012,-,converted from PM10,PM10: <75 % but annually representative, PM2.5:NA,Open Government Data (OGD) Plateform India
1266,Sear,IND,India,Dhanbad,178,2012,"3 stations, NA",measured data,95.3002813291,2012,-,converted from PM10,PM10: <75 % but annually representative, PM2.5:NA,Open Government Data (OGD) Plateform India
1267,Sear,IND,India,Dibrugarh,56,2012,"1 station, NA",measured data,29.9821109799,2012,-,converted from PM10,PM10: <75 % but annually representative, PM2.5:NA,Open Government Data (OGD) Plateform India
1268,Sear,IND,India,Dimapur,89.5,2012,"2 stations, NA",measured data,47.917838084,2012,-,converted from PM10,PM10: <75 % but annually representative, PM2.5:NA,Open Government Data (OGD) Plateform India
1269,Sear,IND,India,Durgapur,108,2012,"1 station, NA",measured data,57.8226426041,2012,-,converted from PM10,PM10: <75 % but annually representative, PM2.5:NA,Open Government Data (OGD) Plateform India
1270,Sear,IND,India,Faridabad,183.5,2012,"2 stations, NA",measured data,98.2449529432,2012,-,converted from PM10,PM10: <75 % but annually representative, PM2.5:NA,Open Government Data (OGD) Plateform India
1271,Sear,IND,India,Firozabad,211.6666666667,2012,"3 stations, NA",measured data,113.3252409063,2012,-,converted from PM10,PM10: >75%, PM2.5:NA,Open Government Data (OGD) Plateform India
1272,Sear,IND,India,Gobindgarh,201,2012,"3 stations, NA",measured data,107.6143626244,2012,-,converted from PM10,PM10: <75 % but annually representative, PM2.5:NA,Open Government Data (OGD) Plateform India
1273,Sear,IND,India,Golaghat,55,2012,"1 station, NA",measured data,29.446716141,2012,-,converted from PM10,PM10: >75%, PM2.5:NA,Open Government Data (OGD) Plateform India
1274,Sear,IND,India,Guntur,75,2012,"1 station, NA",measured data,40.1546129195,2012,-,converted from PM10,PM10: <75 % but annually representative, PM2.5:NA,Open Government Data (OGD) Plateform India
1275,Sear,IND,India,Guwahati,91.8333333333,2012,"6 stations, NA",measured data,49.1670927082,2012,-,converted from PM10,PM10: <75 % but annually representative, PM2.5:NA,Open Government Data (OGD) Plateform India
1276,Sear,IND,India,Gwalior,329,2012,"2 stations, NA",measured data,176.1449020071,2012,-,converted from PM10,PM10: <75 % but annually representative, PM2.5:NA,Open Government Data (OGD) Plateform India
1277,Sear,IND,India,Hassan,36,2012,"1 station, NA",measured data,19.2742142014,2012,-,converted from PM10,PM10: <75 % but annually representative, PM2.5:NA,Open Government Data (OGD) Plateform India
1278,Sear,IND,India,Howrah,186,2012,"1 station, NA",measured data,99.5834400405,2012,-,converted from PM10,PM10: <75 % but annually representative, PM2.5:NA,Open Government Data (OGD) Plateform India
1279,Sear,IND,India,Hyderabad,79.3,2012,"10 stations, NA",measured data,58.575,2014,"1 station, NA",measured data,PM10: <75%, PM2.5:<75%,"Open Government Data (OGD) Plateform India; U.S. Department of State, Mission Air Quality"
1280,Sear,IND,India,Indore,142.6666666667,2012,"3 stations, NA",measured data,76.3829970203,2012,-,converted from PM10,PM10: >75%, PM2.5:NA,Open Government Data (OGD) Plateform India
1281,Sear,IND,India,Jaipur,186.6666666667,2012,"6 stations, NA",measured data,99.9403699331,2012,-,converted from PM10,PM10: >75%, PM2.5:NA,Open Government Data (OGD) Plateform India
1282,Sear,IND,India,Jalandhar,140.3333333333,2012,"3 stations, NA",measured data,75.1337423961,2012,-,converted from PM10,PM10: <75 % but annually representative, PM2.5:NA,Open Government Data (OGD) Plateform India
1283,Sear,IND,India,Jalgaon,130,2012,"3 stations, NA",measured data,69.6013290605,2012,-,converted from PM10,PM10: <75 % but annually representative, PM2.5:NA,Open Government Data (OGD) Plateform India
1284,Sear,IND,India,Jammu,119.3333333333,2012,"3 stations, NA",measured data,63.8904507787,2012,-,converted from PM10,PM10: <75 % but annually representative, PM2.5:NA,Open Government Data (OGD) Plateform India
1285,Sear,IND,India,Jamnagar,101,2012,"1 station, NA",measured data,54.0748787317,2012,-,converted from PM10,PM10: <75 % but annually representative, PM2.5:NA,Open Government Data (OGD) Plateform India
1286,Sear,IND,India,Jhansi,109.5,2012,"2 stations, NA",measured data,58.6257348625,2012,-,converted from PM10,PM10: <75 % but annually representative, PM2.5:NA,Open Government Data (OGD) Plateform India
1287,Sear,IND,India,Jodhpur,189.1666666667,2012,"6 stations, NA",measured data,101.2788570304,2012,-,converted from PM10,PM10: <75 % but annually representative, PM2.5:NA,Open Government Data (OGD) Plateform India
1288,Sear,IND,India,Kakinada,58,2012,"1 station, NA",measured data,31.0529006578,2012,-,converted from PM10,PM10: NA, PM2.5:NA,Open Government Data (OGD) Plateform India
1289,Sear,IND,India,Kanpur,214.625,2012,"8 stations, NA",measured data,114.9091173048,2012,-,converted from PM10,PM10: >75%, PM2.5:NA,Open Government Data (OGD) Plateform India
1290,Sear,IND,India,Khanna,212.5,2012,"2 stations, NA",measured data,113.7714032721,2012,-,converted from PM10,PM10: <75 % but annually representative, PM2.5:NA,Open Government Data (OGD) Plateform India
1291,Sear,IND,India,Khurja,168,2012,"2 stations, NA",measured data,89.9463329398,2012,-,converted from PM10,PM10: >75%, PM2.5:NA,Open Government Data (OGD) Plateform India
1292,Sear,IND,India,Kochi,70.2857142857,2012,"7 stations, NA",measured data,37.6306086789,2012,-,converted from PM10,PM10: <75 % but annually representative, PM2.5:NA,Open Government Data (OGD) Plateform India
1293,Sear,IND,India,Kohima,81.5,2012,"2 stations, NA",measured data,43.6346793726,2012,-,converted from PM10,PM10: >75%, PM2.5:NA,Open Government Data (OGD) Plateform India
1294,Sear,IND,India,Kolhapur,110,2012,"3 stations, NA",measured data,58.893432282,2012,-,converted from PM10,PM10: <75 % but annually representative, PM2.5:NA,Open Government Data (OGD) Plateform India
1295,Sear,IND,India,Kolkata,135.4444444444,2012,"9 stations, NA",measured data,61.4,2014,"1 station, NA",measured data,PM10: <75 % but annually representative, PM2.5: :<75%,"Open Government Data (OGD) Plateform India; U.S. Department of State, Mission Air Quality"
1296,Sear,IND,India,Kollam,41,2012,"2 stations, NA",measured data,21.951188396,2012,-,converted from PM10,PM10: <75 % but annually representative, PM2.5:NA,Open Government Data (OGD) Plateform India
1297,Sear,IND,India,Korba,80.6666666667,2012,"3 stations, NA",measured data,43.1885170068,2012,-,converted from PM10,PM10: >75%, PM2.5:NA,Open Government Data (OGD) Plateform India
1298,Sear,IND,India,Kota,156.3333333333,2012,"3 stations, NA",measured data,83.700059819,2012,-,converted from PM10,PM10: <75 % but annually representative, PM2.5:NA,Open Government Data (OGD) Plateform India
1299,Sear,IND,India,Kothagudem,63,2012,"1 station, NA",measured data,33.7298748524,2012,-,converted from PM10,PM10: >75%, PM2.5:NA,Open Government Data (OGD) Plateform India
1300,Sear,IND,India,Kottayam,56,2012,"2 stations, NA",measured data,29.9821109799,2012,-,converted from PM10,PM10: <75 % but annually representative, PM2.5:NA,Open Government Data (OGD) Plateform India
1301,Sear,IND,India,Kozhikode,55.5,2012,"2 stations, NA",measured data,29.7144135605,2012,-,converted from PM10,PM10: <75 % but annually representative, PM2.5:NA,Open Government Data (OGD) Plateform India
1302,Sear,IND,India,Kurnool,74,2012,"1 station, NA",measured data,39.6192180806,2012,-,converted from PM10,PM10: <75 % but annually representative, PM2.5:NA,Open Government Data (OGD) Plateform India
1303,Sear,IND,India,Lucknow,210.8,2012,"5 stations, NA",measured data,112.8612320459,2012,-,converted from PM10,PM10: <75 % but annually representative, PM2.5:NA,Open Government Data (OGD) Plateform India
1304,Sear,IND,India,Ludhiana,227.75,2012,"4 stations, NA",measured data,121.9361745657,2012,-,converted from PM10,PM10: <75 % but annually representative, PM2.5:NA,Open Government Data (OGD) Plateform India
1305,Sear,IND,India,Madurai,48.3333333333,2012,"3 stations, NA",measured data,25.8774172148,2012,-,converted from PM10,PM10: >75%, PM2.5:NA,Open Government Data (OGD) Plateform India
1306,Sear,IND,India,Margherita,54,2012,"1 station, NA",measured data,28.9113213021,2012,-,converted from PM10,PM10: >75%, PM2.5:NA,Open Government Data (OGD) Plateform India
1307,Sear,IND,India,Meerut,129,2012,"2 stations, NA",measured data,69.0659342216,2012,-,converted from PM10,PM10: <75 % but annually representative, PM2.5:NA,Open Government Data (OGD) Plateform India
1308,Sear,IND,India,Mumbai,117.3333333333,2012,"3 stations, NA",measured data,62.9375,2013,2 stations,measured data,PM10: >75%, PM2.5:NA,"Open Government Data (OGD) Plateform India; U.S. Department of State, Mission Air Quality; Central Pollution Control Board India, Environmental Data Bank"
1309,Sear,IND,India,Nagaon,79,2012,"1 station, NA",measured data,42.2961922753,2012,-,converted from PM10,PM10: >75%, PM2.5:NA,Open Government Data (OGD) Plateform India
1310,Sear,IND,India,Nagda,103,2012,"3 stations, NA",measured data,55.1456684095,2012,-,converted from PM10,PM10: >75%, PM2.5:NA,Open Government Data (OGD) Plateform India
1311,Sear,IND,India,Nagpur,102.5714285714,2012,"7 stations, NA",measured data,54.9162134785,2012,-,converted from PM10,PM10: <75 % but annually representative, PM2.5:NA,Open Government Data (OGD) Plateform India
1312,Sear,IND,India,Nalbari,82,2012,"1 station, NA",measured data,43.902376792,2012,-,converted from PM10,PM10: <75 % but annually representative, PM2.5:NA,Open Government Data (OGD) Plateform India
1313,Sear,IND,India,Nalgonda,79,2012,"1 station, NA",measured data,42.2961922753,2012,-,converted from PM10,PM10: <75 % but annually representative, PM2.5:NA,Open Government Data (OGD) Plateform India
1314,Sear,IND,India,Nanded,52.6666666667,2012,"3 stations, NA",measured data,28.1974615168,2012,-,converted from PM10,PM10: <75 % but annually representative, PM2.5:NA,Open Government Data (OGD) Plateform India
1315,Sear,IND,India,Nashik,95.25,2012,"4 stations, NA",measured data,50.9963584078,2012,-,converted from PM10,PM10: <75 % but annually representative, PM2.5:NA,Open Government Data (OGD) Plateform India
1316,Sear,IND,India,Navi Mumbai,120,2012,"6 stations, NA",measured data,64.2473806713,2012,-,converted from PM10,PM10: <75 % but annually representative, PM2.5:NA,Open Government Data (OGD) Plateform India
1317,Sear,IND,India,Naya Nangal,88.5,2012,"2 stations, NA",measured data,47.3824432451,2012,-,converted from PM10,PM10: >75%, PM2.5:NA,Open Government Data (OGD) Plateform India
1318,Sear,IND,India,Nellore,62,2012,"1 station, NA",measured data,33.1944800135,2012,-,converted from PM10,PM10: <75 % but annually representative, PM2.5:NA,Open Government Data (OGD) Plateform India
1319,Sear,IND,India,Noida,136,2012,"2 stations, NA",measured data,72.8136980941,2012,-,converted from PM10,PM10: >75%, PM2.5:NA,Open Government Data (OGD) Plateform India
1320,Sear,IND,India,Panaji,67,2012,"1 station, NA",measured data,35.8714542081,2012,-,converted from PM10,PM10: <75 % but annually representative, PM2.5:NA,Open Government Data (OGD) Plateform India
1321,Sear,IND,India,Parwanoo,79.5,2012,"2 stations, NA",measured data,42.5638896947,2012,-,converted from PM10,PM10: <75 % but annually representative, PM2.5:NA,Open Government Data (OGD) Plateform India
1322,Sear,IND,India,Pathanamthitta,23,2012,"1 station, NA",measured data,12.3140812953,2012,-,converted from PM10,PM10: <75 % but annually representative, PM2.5:NA,Open Government Data (OGD) Plateform India
1323,Sear,IND,India,Patiala,62.5,2012,"2 stations, NA",measured data,33.462177433,2012,-,converted from PM10,PM10: <75 % but annually representative, PM2.5:NA,Open Government Data (OGD) Plateform India
1324,Sear,IND,India,Patna,166.5,2012,"2 stations, 2 stations, residential and others (PM10); 1 station (PM2.5)",measured data,148.94,2013,"1 station, 2 stations, residential and others (PM10); 1 station (PM2.5)",measured data,PM10: >75%, PM2.5:NA,"Central Pollution Control Board India, Environmental Data Bank"
1325,Sear,IND,India,Puducherry,41.6666666667,2012,"3 stations, NA",measured data,22.3081182886,2012,-,converted from PM10,PM10: >75%, PM2.5:NA,Open Government Data (OGD) Plateform India
1326,Sear,IND,India,Pune,92,2012,"4 stations, NA",measured data,49.2563251813,2012,-,converted from PM10,PM10: <75 % but annually representative, PM2.5:NA,Open Government Data (OGD) Plateform India
1327,Sear,IND,India,Raebareli,163,2012,"3 stations, NA",measured data,87.2693587452,2012,-,converted from PM10,PM10: <75 % but annually representative, PM2.5:NA,Open Government Data (OGD) Plateform India
1328,Sear,IND,India,Raipur,268.3333333333,2012,"3 stations, NA",measured data,143.6642817788,2012,-,converted from PM10,PM10: <75 % but annually representative, PM2.5:NA,Open Government Data (OGD) Plateform India
1329,Sear,IND,India,Rajkot,98.5,2012,"2 stations, NA",measured data,52.7363916343,2012,-,converted from PM10,PM10: <75 % but annually representative, PM2.5:NA,Open Government Data (OGD) Plateform India
1330,Sear,IND,India,Ramagundam,82,2012,"1 station, NA",measured data,43.902376792,2012,-,converted from PM10,PM10: >75%, PM2.5:NA,Open Government Data (OGD) Plateform India
1331,Sear,IND,India,Raniganj,126,2012,"1 station, NA",measured data,67.4597497048,2012,-,converted from PM10,PM10: <75 % but annually representative, PM2.5:NA,Open Government Data (OGD) Plateform India
1332,Sear,IND,India,Rayagada,54,2012,"2 stations, NA",measured data,28.9113213021,2012,-,converted from PM10,PM10: <75 % but annually representative, PM2.5:NA,Open Government Data (OGD) Plateform India
1333,Sear,IND,India,Rishikesh,109,2012,"1 station, NA",measured data,58.3580374431,2012,-,converted from PM10,PM10: >75%, PM2.5:NA,Open Government Data (OGD) Plateform India
1334,Sear,IND,India,Rourkela,98,2012,"2 stations, NA",measured data,52.4686942149,2012,-,converted from PM10,PM10: <75 % but annually representative, PM2.5:NA,Open Government Data (OGD) Plateform India
1335,Sear,IND,India,Salem,60,2012,"1 station, NA",measured data,32.1236903356,2012,-,converted from PM10,PM10: <75 % but annually representative, PM2.5:NA,Open Government Data (OGD) Plateform India
1336,Sear,IND,India,Sambalpur,53,2012,"1 station, NA",measured data,28.3759264631,2012,-,converted from PM10,PM10: <75 % but annually representative, PM2.5:NA,Open Government Data (OGD) Plateform India
1337,Sear,IND,India,Sangli,80,2012,"3 stations, NA",measured data,42.8315871142,2012,-,converted from PM10,PM10: <75 % but annually representative, PM2.5:NA,Open Government Data (OGD) Plateform India
1338,Sear,IND,India,Shillong,65,2012,"2 stations, NA",measured data,34.8006645303,2012,-,converted from PM10,PM10: >75%, PM2.5:NA,Open Government Data (OGD) Plateform India
1339,Sear,IND,India,Shimla,57.5,2012,"2 stations, NA",measured data,30.7852032383,2012,-,converted from PM10,PM10: <75 % but annually representative, PM2.5:NA,Open Government Data (OGD) Plateform India
1340,Sear,IND,India,Sibsagar,109,2012,"2 stations, NA",measured data,58.3580374431,2012,-,converted from PM10,PM10: <75 % but annually representative, PM2.5:NA,Open Government Data (OGD) Plateform India
1341,Sear,IND,India,Silchar,90.5,2012,"2 stations, NA",measured data,48.4532329229,2012,-,converted from PM10,PM10: >75%, PM2.5:NA,Open Government Data (OGD) Plateform India
1342,Sear,IND,India,Singrauli,64,2012,"3 stations, NA",measured data,34.2652696913,2012,-,converted from PM10,PM10: <75 % but annually representative, PM2.5:NA,Open Government Data (OGD) Plateform India
1343,Sear,IND,India,Solapur,83,2012,"2 stations, NA",measured data,44.437771631,2012,-,converted from PM10,PM10: <75 % but annually representative, PM2.5:NA,Open Government Data (OGD) Plateform India
1344,Sear,IND,India,Surat,97,2012,"3 stations, NA",measured data,51.9332993759,2012,-,converted from PM10,PM10: <75 % but annually representative, PM2.5:NA,Open Government Data (OGD) Plateform India
1345,Sear,IND,India,Tezpur,11,2012,"1 station, NA",measured data,5.8893432282,2012,-,converted from PM10,PM10: <75 % but annually representative, PM2.5:NA,Open Government Data (OGD) Plateform India
1346,Sear,IND,India,Thane,72.6666666667,2012,"3 stations, NA",measured data,38.9053582954,2012,-,converted from PM10,PM10: <75 % but annually representative, PM2.5:NA,Open Government Data (OGD) Plateform India
1347,Sear,IND,India,Thiruvananthapuram,54.5,2012,"4 stations, NA",measured data,29.1790187215,2012,-,converted from PM10,PM10: <75 % but annually representative, PM2.5:NA,Open Government Data (OGD) Plateform India
